track_id,artist_name,track_name,album_name,album_type,video_title,channel_name,platform,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_sec,mood_category,views,likes,comments,streams,engagement_rate,like_ratio,popularity_score,energy_liveness_ratio,is_licensed,is_official_video
1,Ace of Base,Lucky Love,The Bridge,album,Ace of Base - Lucky Love (Official Music Video),Ace of Base,Youtube,0.769,0.662,-7.238,0.0319,0.129,0.00102,0.0814,0.863,104.104,175.7,Happy/Energetic,8790417,31106,1080,5505208,0.003661,0.003539,0.16,8.132678133,1,1
2,Lil Baby,Drip Too Hard (Lil Baby & Gunna),Drip Harder,album,"Lil Baby x Gunna - ""Drip Too Hard"" (Official Music Video)",Lil Baby Official 4PF,Spotify,0.897,0.662,-6.903,0.292,0.0852,0.0,0.534,0.389,112.511,145.5,Angry/Intense,85768437,1170652,30003,1131137257,0.013999,0.013649,33.4,1.239700375,0,0
3,Commodores,Three Times A Lady,Natural High,album,Commodores - Three Times A Lady [Live],TheSoulKings,Spotify,0.487,0.094,-19.555,0.0274,0.834,0.000224,0.172,0.0788,74.857,398.5,Sad/Mellow,9080536,60229,3746,36098941,0.007045,0.006633,1.07,0.546511628,0,0
4,Natalia Lafourcade,Tú Sí Sabes Quererme (feat. Los Macorinos),"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)",album,Natalia Lafourcade - Tú sí sabes quererme (en manos de Los Macorinos),NLaFourcadeVEVO,Youtube,0.664,0.46,-10.974,0.105,0.782,3.19e-06,0.176,0.793,170.057,244.9,Calm/Positive,293326401,1077796,24959,110366556,0.003759,0.003674,3.26,2.613636364,1,1
5,TLC,Creep,Crazysexycool,album,TLC - Creep (Official HD Video),TLCVEVO,Spotify,0.811,0.458,-9.688,0.0402,0.0193,1.41e-06,0.0526,0.797,92.94,268.5,Calm/Positive,111070290,649654,22629,151814181,0.006053,0.005849,4.48,8.707224335,1,1
6,The Wiggles,Hot Potato,Yummy Yummy,album,The Wiggles - Hot Potato Hot potato,Rhys Yergs,Spotify,0.669,0.737,-7.974,0.0975,0.0289,0.0,0.204,0.948,170.925,81.1,Happy/Energetic,1432178,6540,0,36201096,0.004566,0.004566,1.07,3.612745098,0,0
7,Ludovico Einaudi,Rolling Like A Ball,Underwater,album,Ludovico Einaudi - Rolling Like A Ball (Performance Video),LudovicoEinaudiVEVO,Spotify,0.208,0.012,-29.933,0.0422,0.987,0.919,0.1,0.0391,175.159,257.2,Sad/Mellow,473964,10849,425,13213932,0.023787,0.02289,0.39,0.12,1,1
8,Anirudh Ravichander,"Thenmozhi (From ""Thiruchitrambalam"")","Thenmozhi (From ""Thiruchitrambalam"")",single,Thenmozhi - Official Video Song | Thiruchitrambalam | Dhanush | Anirudh | Sun Pictures,Sun TV,Spotify,0.764,0.532,-5.979,0.0491,0.598,0.0,0.26,0.859,123.95,173.2,Happy/Energetic,36310571,358707,4321,55429185,0.009998,0.009879,1.64,2.046153846,1,1
9,Brooks & Dunn,Boot Scootin' Boogie,#1s ... and then some,album,0,0,Spotify,0.656,0.817,-4.296,0.0435,0.22,0.0,0.304,0.862,130.448,198.2,Happy/Energetic,0,0,0,148149154,0.0,0.0,4.37,2.6875,0,0
10,Mijares,Ven A Cantar,Eterna Navidad,album,Mijares - Ven A Cantar (feat. La Hermandad) [Video Oficial],Warner Music México,Spotify,0.634,0.662,-8.299,0.0292,0.235,0.0,0.0413,0.375,111.638,239.8,Angry/Intense,3230909,37133,2273,17146691,0.012197,0.011493,0.51,16.02905569,1,1
11,Halsey,Without Me,Manic,album,Halsey - Without Me,HalseyVEVO,Spotify,0.752,0.488,-7.05,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201.7,Calm/Positive,720370943,8066442,141866,1666992690,0.011395,0.011198,49.22,5.213675214,1,1
